target_1,Khepera_8,93
target_3,Khepera_5,97
target_2,Khepera_7,275
target_5,Khepera_8,327
target_4,Khepera_3,398
target_6,Khepera_5,472
target_0,Khepera_7,624
target_5,Khepera_5,634
target_1,Khepera_3,768
depot_0,Khepera_7,805
depot_3,Khepera_5,822
depot_2,Khepera_3,849
depot_3,Khepera_8,868
depot_3,Khepera_8,869
target_2,Khepera_5,1009
target_6,Khepera_8,1167
target_4,Khepera_3,1191
